location,Ad Dammam,Amsterdam,Athens,Auckland,Baker Island,Bangkok,Beijing,Beirut,Berlin,Bogota,Brussels,Bucharest,Budapest,Buenos Aires,Cape Town,Christmas Island,Copenhagen,Delhi,Dubai,Dublin,Geneva,Havana,Helsinki,Hong Kong,Islamabad,Istanbul,Kabul,Kuala Lumpur,Lisbon,Ljubljana,London,Los Angeles,Macau,Madrid,Manama,Mexico City,Montevideo,Montreal,Moscow,New York,Nicosia,Nursultan,Oslo,Paris,Prague,Pyongyang,Reykjavik,Rio De Janeiro,Rome,Santiago,Seoul,Singapore,Stockholm,Sydney,Taipei,Tallinn,Tehran,Tel Aviv,Tokyo,Valletta,Vienna,Vilnius,Warsaw,Zagreb,sum_co2kg,sum_co2kg_div_3,weightedsum_co2ton
"Baku,  Azerbaijan",155846.748,25909694.288,166851.726,6990395.58,294598.719,125970.367,60029481.485999994,73660.452,60431053.331,1083997.556,12215536.242,246878.235,945920.115,1204980.212,2715963.054,176188.839,2884607.098,1032214.0050000001,87569.498,2711504.992,20987957.504,1491677.6400000001,4164357.7600000002,4147617.96,53890.415,832640.9330000001,45378.48,728255.5700000001,3068209.872,426427.3979999999,58847795.335999995,288422449.96,137232.442,9575360.141,39551.229,11012792.96,1488576.4449999998,150469476.08,1101408.935,231715178.084,39091.725,50639.409,4867586.73,22508260.054,2731304.15,414314.958,114337.73,9585666.368,23597247.845000003,72985245.435,48354298.882999994,26195747.576,6406237.352,62602946.28000001,21905408.959999997,67222.943,197601.47,2778953.28,60110476.244,75874.859,5574382.714,59303.857,3632263.978,68360.888,1343161921.3750002,447720640.45833343,447720.6404583334
"Bamako,  Mali",547610.984,31623173.752,280385.69700000004,7904784.699,393744.132,253218.579,127495107.42799999,219879.194,86287567.051,640672.396,14303351.811,529600.8099999999,1532511.9600000002,655341.024,1811768.266,278930.725,4169831.846,2913325.23,296170.444,2807090.636,22520148.48,1036009.632,7961945.761,8248972.290000001,184185.246,2005491.933,176312.326,1314650.6150000002,1988386.568,568434.7320000001,64804181.664000005,272894939.45,273804.562,7387715.455,137912.964,8446313.32,803402.19,120254030.05,3127201.3710000003,175919755.008,106994.437,179178.073,7124453.313999999,24417545.810000002,3896446.5459999996,819938.217,128348.408,4487926.766,26327765.956,41611537.072000004,94573254.743,46257642.504,10651032.662,79552157.685,42344262.832,129049.953,1556471.807,7297750.752,108356902.472,82307.608,8258578.258,121194.588,6537007.507999999,95804.274,1499911412.5259998,499970470.84199995,499970.4708419999
"Bandar Seri Begawan,  Brunei",637349.372,74530816.938,641076.2309999999,3557923.2150000003,167288.695,46383.905,42733812.836,382131.596,182866799.287,1613721.056,35292394.893,1042067.5650000001,3292578.6900000004,1448165.628,3334592.9960000003,49502.094,8343834.739,1581123.0150000001,295656.382,7055261.612,61658455.552,2137931.886,12714405.435999999,1441077.75,118508.653,3868936.199,126346.441,186790.53500000003,7634741.1559999995,1364595.732,164200082.008,320579536.685,47898.599,25395521.597,158250.997,13416928.440000001,1800922.905,240606554.64999998,4411530.961999999,366315149.06,195321.625,143328.743,13295780.449000001,65070723.48,8575780.454,262861.07399999996,252077.118,13626603.83,72417347.066,82906524.687,29035206.112,5832497.124,18653917.461999997,27469737.484,8553720.088,208749.351,1764587.2310000001,13080565.204,34380037.328,231886.321,18327286.18,208566.417,12476673.712000001,225117.045,2024291541.573,674763847.191,674763.847191
"Bangkok,  Thailand",477090.04,62790654.559999995,520584.28500000003,4394010.033,202240.15,0.0,39699652.98,301483.316,152320376.655,1555535.624,29727929.805,844611.755,2708493.045,1468484.752,3102443.848,67458.072,6978478.721,1069715.52,215653.812,6030465.196,51703629.568,2076313.896,10538857.211000001,1293685.7100000002,81940.442,3110427.319,86582.118,161018.84,6530958.868,1129838.322,139166857.492,329026609.61,41709.561,21570578.797,118202.594,13706820.0,1816491.63,224817522.16000003,3564715.927,343535261.028,155020.375,108320.232,11197786.941000002,54906613.44,7118467.723999999,251893.65300000002,220448.819,12932796.813,60071720.327,87137279.40900001,28558800.809,6202433.692,15565422.424,35849556.827,9211838.200000001,172841.396,1322422.9479999999,10338851.104,37097939.788,191654.104,15148410.876,171232.528,10275533.343999999,185925.927,1872946594.9620004,624315531.6540002,624315.5316540002
"Beijing,  China",545800.416,53635813.338,500720.853,4773162.681,176615.852,80363.67,0.0,306093.344,130520719.63900001,1301554.668,25634115.338999998,774461.015,2414128.575,1675464.008,3953062.4140000003,125782.992,5843202.356000001,1264225.545,256841.446,5076599.388,45986300.672,1666261.266,8474617.882000001,1466376.6,86158.986,2941278.489,92520.457,481208.35,5915781.368,1014287.946,119073301.928,249489425.72,49280.187,19558252.493,135846.741,10864843.600000001,2082119.125,175982952.53,2932655.273,271508206.548,154999.716,83037.442,9093545.510000002,47851970.25,6211212.67,74643.402,172680.377,13940766.205,55339032.421,94059785.83,9743965.88,17016121.508,12666036.656000001,42471141.265,6366028.636,139858.883,1357468.233,10645171.996,18893515.368,184069.305,13410156.18,144122.607,8834357.348,167403.582,1527681494.9700005,509227164.9900002,509227.1649900002
"Beirut,  Lebanon",163360.812,24292492.461000003,94922.21100000001,7464746.478,325885.506,150741.658,75605055.968,0.0,53806558.44899999,1003376.664,11261108.606999999,179907.595,758479.38,1079416.204,2377169.7460000003,194294.817,2706486.804,1325551.29,105593.754,2432814.16,17691433.984,1425610.356,4500668.755,5027596.590000001,82537.745,549879.19,75335.917,835885.555,2481382.372,329671.254,55144389.308,296489704.21500003,166476.597,8072448.5430000005,42082.715,10798912.2,1331299.4500000002,146177529.19,1376692.715,223394703.008,962.225,82638.668,4839702.091,20696407.704,2318008.626,508982.079,112445.363,8431627.192,16847997.064,65989921.273,59114351.329,29900086.464,6515338.1559999995,67052485.927,26415092.688,72050.218,406508.333,57637.615999999995,71575604.828,47699.171,4538880.892,60060.273,3344458.3499999996,52329.213,1350303477.966,450101159.322,450101.15932200005
"Belgrade,  Serbia",325220.528,11226960.066,74514.522,8079846.2639999995,320909.244,178560.776,80303020.174,88157.488,23701980.875,873843.64,5166951.950999999,8989.06,19074.75,1035388.22,2682782.9280000003,228208.41,1274664.4670000002,1736892.54,169052.452,1484803.3760000002,7995643.392,1202152.0019999999,2638835.478,5621910.75,101936.21,473960.13,94278.923,991773.6749999999,1739704.5119999999,11633.574,28234357.336,255465509.44,186533.462,4871774.4629999995,81843.893,9273822.0,1280709.75,116755804.55000001,984239.138,180261344.04,38542.344,84329.729,2644728.395,9702099.428,875672.646,530672.289,81724.327,8010524.679,7043463.623000001,62489842.09599999,61718514.792,35262768.684,3494458.898,74053468.391,28781441.748,41335.06,752268.099,3179495.3800000004,73087308.84,31036.009,160844.476,31639.871,1467621.2119999998,1471.589,1130812861.0540001,376937620.3513334,376937.6203513334
"Belize City,  Belize",1165402.18,59452974.052,695471.703,5393517.759,214537.264,357073.745,141474321.404,512939.104,163237871.296,207462.056,27929461.392,1141207.175,3215930.25,579241.92,3842054.258,398644.5,7332670.878,4784726.985,602631.43,4860949.044,50051883.264,159226.188,12710695.172,9775338.45,304638.553,4498428.9229999995,299644.213,1900380.855,4827658.22,1253128.74,122287960.412,94312899.91000001,326731.476,17629075.947,292454.454,1279641.28,739553.585,63064794.1,5236250.771,80753296.088,251281.912,264511.548,11379458.266,50012612.44,7801957.84,837447.942,156171.763,5395956.605,65027073.97,29776229.231999997,95666839.01499999,65610688.452,17349587.368,65588291.013000004,46063501.5,208996.219,3052253.8419999997,17526277.092,97152978.46800001,217761.011,17200955.336,215087.411,12316454.106,211349.673,1508386491.02,502795497.00666666,502795.4970066667
"Berlin,  Germany",372617.7,5919573.375,134761.416,8105495.664,306715.776,188282.295,79699920.274,133019.922,0.0,824236.272,3058469.6520000002,169486.325,326968.48500000004,1039194.592,2944931.22,241844.586,52844.14,1908293.355,204350.452,958353.2279999999,6806383.872,1098039.096,1888148.128,5745399.39,112624.504,824187.4909999999,105581.558,1050690.815,1593495.372,136196.256,18699009.371999998,231003023.555,190834.749,4505576.571,94178.934,8501527.959999999,1288565.715,101637791.64000002,928526.9739999999,158809595.384,61143.438,86215.865,1512580.876,7077785.456,43082.082,521410.19700000004,58708.528,8091036.235,10000484.278,61969509.745,60694129.65,37267056.132,2143998.404,76001632.763,29001429.688,29950.73,914040.732,4742581.528,71027998.86,46022.32,1441663.1560000002,25162.583,1011115.6819999999,23852.359,1025401327.3520001,341800442.4506667,341800.44245066674
"Bishkek,  Kyrgyzstan",281135.972,35360929.295,284068.42799999996,6144219.837,251335.402,90404.072,40836445.286000006,166470.01,81582896.316,1207894.188,16888333.287,427314.68500000006,1425653.985,1383708.116,3140731.188,147509.191,3722959.092,601693.53,129101.384,3565329.516,29729670.144,1609767.792,5166399.148,2856665.19,29762.286,1593409.844,29930.753,569781.92,4156232.752,619099.884,80617167.176,281368199.095,94329.731,13358978.225,69904.7,11382274.680000002,1711543.2850000001,163182252.31,1680720.2619999999,252223159.09600002,82766.809,28451.432,6000353.867,31776735.060000002,3823054.03,282476.61600000004,134101.666,11241724.726,34209680.914,83099729.154,33311345.43,20666729.832000002,7986450.974,54628536.319,15339520.828,84723.619,582242.3640000001,5661400.723999999,44300966.528000005,112796.364,8099815.024,84070.3,5215977.816,101021.264,1416542052.713,472180684.23766667,472180.68423766666
"Bogota,  Colombia",1141203.656,60601487.80100001,679387.791,5583779.334000001,248284.678,388883.906,160742001.498,501688.332,166701786.012,0.0,28286823.39,1140740.715,3231661.11,412340.084,3217874.912,420936.915,7579743.743000001,4965156.2700000005,593485.89,4988186.476,49744047.36,331096.92600000004,13398593.148,11022010.74,316390.074,4459717.734,309353.579,2068303.7049999998,4617890.396,1249376.076,124221589.284,140004970.595,368013.365,17032191.976,286447.43,3097369.6799999997,528114.2,77354769.03,5474572.8379999995,100695804.612,246019.252,283294.76,11960073.254,50219286.725999996,7895955.058,963413.034,170879.702,3717625.838,63762412.99600001,21376765.244,110175537.19700001,72186267.37200001,18201676.228,67713805.362,52509567.352,219720.41,3065733.44,17040047.308000002,113435586.26400001,209346.388,17303726.674,222425.344,12600787.389999999,210712.263,1653696740.117,551232246.7056667,551232.2467056667
"Bratislava,  Slovakia",335645.532,9097998.231,99628.506,8132160.1620000005,315356.878,183570.865,80346620.12,108512.166,14818507.203,848833.916,4231715.901000001,123819.655,9702.06,1034328.284,2794536.808,234996.494,1000576.6440000001,1820437.14,185361.388,1211736.428,6676059.648,1152304.1099999999,2201266.679,5698910.7,107115.863,624029.977,99696.961,1021509.405,1618394.148,7346.664,22571325.880000003,244408926.23499998,189179.725,4483523.33,84409.533,8912425.600000001,1280740.865,109671357.94999999,939765.7170000001,170126909.148,48807.967,85198.083,2072403.143,8159649.75,43747.348000000005,528549.186,71573.248,8016330.682,7546408.78,62111212.45199999,61494691.94,36278541.86,2846917.5979999998,75188670.69,28990765.696,34761.471,838379.19,3887407.952,72429611.436,35262.367,18066.896,27733.247,1031562.5380000001,1097.161,1080596593.2000003,360198864.4000001,360198.8644000001
"Brussels,  Belgium",415738.916,217933.449,154960.314,8348277.315,312271.524,202230.815,86144578.078,153212.362,16831986.044,769709.48,0.0,220713.955,469539.42,987019.784,2915350.116,255211.358,880096.985,2113044.0300000003,227185.798,672793.324,4562569.472,1026822.048,2517281.8759999997,6161638.29,126356.846,1022257.836,119197.906,1119272.795,1198633.6600000001,166069.91999999998,858396.7000000001,224218901.555,204728.653,3320391.771,105006.882,8087105.88,1224160.57,93941341.34,1276902.4770000002,146685370.512,70966.217,100125.489,1806497.931,280985.376,858512.112,558868.845,52588.496,7627008.986,9952055.047,58859168.003,64953116.327,39631267.684,2895417.4699999997,79047346.462,30998536.804,40120.211,995150.4419999999,5379644.22,75207787.928,46021.64,2262117.4359999998,36963.178,1843541.194,29668.047,1003767735.6010002,334589245.2003334,334589.2452003334
"Bucharest,  Romania",286990.568,13945346.599,69687.978,7883550.2129999995,317346.2,168922.351,76516748.282,71963.038,27422887.384999998,912592.572,6488990.277,0.0,309513.85500000004,1066651.084,2679675.9359999998,218587.936,1463033.391,1591671.24,163501.09,1744001.896,10084449.28,1256230.812,2665154.9650000003,5352547.800000001,92306.686,34025.77,84624.736,943270.245,2036285.2159999998,167047.032,34532251.984,262019514.73000002,177524.66,5891592.208,72918.473,9605692.76,1319001.6949999998,122968529.53,867998.104,189787182.90399998,32434.929,82075.783,2929064.381,12367081.341999998,1159183.54,509093.574,83263.475,8294180.665,9784440.663999999,64428092.719,59249699.344000004,33594203.22,3739242.8479999998,71949832.85,27526777.224000003,41797.701,635669.705,2675423.008,70727717.788,35029.911,2139049.704,31502.159,1644532.116,24869.702,1166964069.8329997,388988023.27766657,388988.0232776666
"Budapest,  Hungary",329109.944,9881372.44,93719.217,8085943.2360000005,315811.92,180566.203,79505301.07,101130.584,17634500.291,861776.296,4601486.316,103171.285,0.0,1041322.344,2772332.388,231674.547,1091628.797,1773326.1749999998,178387.238,1318102.8,7459582.464,1173204.7140000002,2246646.958,5626600.35,104043.208,576990.404,96573.072,1005582.965,1698971.484,9156.522,24439436.644,247895174.075,186747.675,4747861.619,82775.278,9051223.08,1289051.37,112329638.96,906254.441,174065987.28,45150.19,83903.96,2204079.874,8805886.641999999,67110.66,524231.901,75058.153,8075247.336,7746992.273,62605041.19099999,60999067.536000006,35732272.096,2944339.688,74540630.57000001,28682211.152,35261.907,797093.737,3641532.4639999997,72045952.16,34651.518,70353.376,27460.367,1051154.2999999998,1200.311,1095928049.0159998,365309349.67199993,365309.3496719999
"Cagayan de Oro,  Philippines",651161.512,71147896.036,632553.7679999999,3682908.432,154622.722,54628.8,34657499.213999994,381395.884,174724775.73299998,1506569.152,33784194.591,1013654.01,3180421.38,1545944.732,3677981.5799999996,79295.519,7920665.961,1580080.5150000001,303624.576,6703074.028,59574385.152,1975352.0100000002,11941933.4,941316.87,116039.728,3793554.307,124016.117,302693.995,7424853.744,1321400.658,156807963.948,290939559.89,31938.344,24699592.09,161809.498,12394356.16,1927081.7249999999,221315575.25,4166897.12,337599363.196,194277.23,132044.133,12513946.787,62489250.67,8236102.33,203608.62,234195.614,14569370.305,70686111.763,86870918.063,22056030.722,10090506.248,17572104.886,29810446.827,4751542.072,196385.927,1749686.609,13113212.684,26779007.164,229220.666,17672459.19,198252.208,11929531.06,218148.985,1897438992.109999,632479664.0366663,632479.6640366663
"Cairo,  Egypt",187762.0,25056193.680999998,93543.693,7570418.814,338524.213,159405.44,81679408.408,38355.382,57227112.383,978335.792,11511425.940000001,208057.15,815359.08,1031036.388,2223062.114,199559.756,2896211.704,1470475.4100000001,119123.412,2469363.456,17636859.648,1412764.674,4988328.313999999,5349738.359999999,87538.679,626698.128,82306.398,871253.7050000001,2365621.0760000004,339041.964,55548338.260000005,301955280.82500005,177171.24,7899251.939,48176.557,10786926.52,1270455.7249999999,146812126.23,1632553.754,223366907.88,19642.254,89802.057,4902138.015000001,20831388.872,2451760.418,546216.723,116231.405,7992870.425,16384452.185999999,63342094.07399999,63332943.828,31105304.396,7052663.232,68128415.544,28098042.128,80570.699,539885.0819999999,110852.24,76135380.776,42193.976,4805013.04,68088.754,3706601.9979999997,54208.172,1379466834.3859997,459822278.1286666,459822.27812866657
"Cape Town,  South Africa",657537.116,66254301.292,526658.5650000001,5392194.381,347217.94,221603.132,139486630.89400002,339595.678,170174954.07000002,919392.832,30611176.218,957027.12,2970356.13,603480.12,0.0,199073.581,8067452.583,3052703.985,335209.99,6112931.552,50363960.064,1617862.9440000001,13959555.491999999,7768056.93,206243.336,3494612.221,202605.892,1047442.51,5246367.728,1168347.93,141187554.82,396422867.615,257628.454,18197626.024,164422.702,11937985.2,732538.03,214159375.43,5093009.784,310066699.584,171759.095,235374.054,13474408.849,54328103.872,7765433.418,893281.824,250111.231,4932907.266,57539513.23199999,39482534.49,101885825.833,36341242.224,19474860.562,52160850.728,40906355.216000006,227074.992,2038107.236,11235678.216,116807521.012,170362.73,16381539.504,215774.621,12149280.3,194041.287,2209786201.6610003,736595400.5536667,736595.4005536668
"Caracas,  Venezuela",1053263.14,53848342.842,613028.655,6048016.715999999,264747.408,369388.784,154905140.546,457512.912,149234524.628,118646.976,25097113.02,1030585.5599999999,2902772.85,449715.336,3129035.392,417337.028,6792210.102000001,4639677.465,549446.658,4390500.995999999,44114713.856,319721.328,12136399.875,10683953.219999999,294813.057,4039677.077,287629.703,1961564.9900000002,3998371.776,1117365.504,109787043.148,145354412.87,356380.316,14886475.151999999,264464.073,3297516.2,570675.21,67381281.66,4990835.366,93151805.692,223915.589,263360.464,10734884.741,44412761.82,7068287.6219999995,937816.0319999999,151635.061,3703015.093,56884720.77,24573603.974,107502506.39700001,68605702.608,16408685.964,72514572.963,51394710.436,198929.336,2822712.134,15541898.508000001,112302259.888,187279.85,15508426.382000001,201087.828,11348232.73,188702.528,1558985815.8050005,519661938.60166687,519661.9386016669
"Casablanca,  Morocco",488530.68,17836012.658,209579.901,8943257.274,349946.707,235191.556,108167225.036,175537.394,53300356.63200001,661887.996,7805261.9399999995,381453.675,995988.12,808857.86,2448608.288,278920.377,2629836.531,2582302.86,267082.974,1518926.22,11620251.136,954456.426,5143031.390000001,7374796.739999999,159054.57,1534629.943,151176.836,1263356.66,535936.716,343953.744,34384398.868,237698443.035,244968.085,2476227.2520000003,123281.537,7841188.959999999,999623.295,95758043.15,2155923.492,144440760.54,83905.838,141671.297,4632234.490999999,12473886.194,2394835.886,695635.95,81857.74,5944498.477000001,15316342.901,49305533.638000004,80496466.82,44605776.692,7073140.434,85224967.562,37353119.564,83734.333,1290117.554,5942066.644,92099292.376,50353.694,5172073.248,82652.435,4366083.9799999995,59447.444,1220257962.2459998,406752654.08199996,406752.65408199996
"Chicago,  United States",983300.536,45422443.877,573889.1429999999,6036947.259,216261.62,300048.317,114373493.754,427689.774,125712297.89,385385.436,21503411.810999997,916695.8,2545341.8850000002,788254.796,4168390.646,354540.04,5554792.8319999995,3932023.9650000003,507514.512,3628759.764,39592556.032,317165.82,9537213.360000001,8199630.930000001,248383.928,3662914.2399999998,244330.003,1624228.9100000001,3951769.472,996782.64,93262141.97999999,77906765.47,273937.621,14321816.326999998,246790.8,2666739.9200000004,997061.075,24897757.5,4030052.2260000003,35704190.128,208818.557,207143.782,8423666.0,38848599.622,6086191.454,681893.253,105019.441,6906292.794,52746347.333,42485679.795,78258346.05600001,56435713.608,12987908.855999999,70277736.529,38706552.924,157298.915,2506635.7139999997,14712340.464,80590517.28,181745.908,13553399.848,165359.346,9549296.32,168403.27,1195964619.1079998,398654873.03599995,398654.87303599995
